bmkegId	uri	resource_id
97	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684476&PLACEBO=IE.pdf&mode=pdf	32446
98	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684478&PLACEBO=IE.pdf&mode=pdf	32449
99	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684475&PLACEBO=IE.pdf&mode=pdf	32451
100	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684470&PLACEBO=IE.pdf&mode=pdf	32454
101	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684471&PLACEBO=IE.pdf&mode=pdf	32456
102	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684466&PLACEBO=IE.pdf&mode=pdf	32458
103	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684467&PLACEBO=IE.pdf&mode=pdf	32461
104	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684469&PLACEBO=IE.pdf&mode=pdf	32463
105	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684468&PLACEBO=IE.pdf&mode=pdf	32466
106	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684472&PLACEBO=IE.pdf&mode=pdf	32469
107	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684462&PLACEBO=IE.pdf&mode=pdf	32472
108	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684463&PLACEBO=IE.pdf&mode=pdf	32475
109	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684461&PLACEBO=IE.pdf&mode=pdf	32479
110	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684460&PLACEBO=IE.pdf&mode=pdf	32484
111	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684459&PLACEBO=IE.pdf&mode=pdf	32486
112	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684458&PLACEBO=IE.pdf&mode=pdf	32488
113	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684449&PLACEBO=IE.pdf&mode=pdf	32490
114	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684450&PLACEBO=IE.pdf&mode=pdf	32493
115	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684451&PLACEBO=IE.pdf&mode=pdf	32496
116	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684452&PLACEBO=IE.pdf&mode=pdf	32499
117	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684453&PLACEBO=IE.pdf&mode=pdf	32503
118	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684454&PLACEBO=IE.pdf&mode=pdf	32504
119	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684447&PLACEBO=IE.pdf&mode=pdf	32506
120	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684446&PLACEBO=IE.pdf&mode=pdf	32508
121	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684444&PLACEBO=IE.pdf&mode=pdf	32512
122	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684447&PLACEBO=IE.pdf&mode=pdf	32514
123	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684446&PLACEBO=IE.pdf&mode=pdf	32515
124	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684444&PLACEBO=IE.pdf&mode=pdf	32516
125	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684443&PLACEBO=IE.pdf&mode=pdf	32521
126	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684442&PLACEBO=IE.pdf&mode=pdf	32523
127	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684441&PLACEBO=IE.pdf&mode=pdf	32524
128	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684440&PLACEBO=IE.pdf&mode=pdf	32526
129	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684442&PLACEBO=IE.pdf&mode=pdf	32527
130	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684441&PLACEBO=IE.pdf&mode=pdf	32528
131	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684440&PLACEBO=IE.pdf&mode=pdf	32529
132	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684434&PLACEBO=IE.pdf&mode=pdf	32530
133	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684433&PLACEBO=IE.pdf&mode=pdf	32534
134	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684436&PLACEBO=IE.pdf&mode=pdf	32536
135	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684435&PLACEBO=IE.pdf&mode=pdf	32540
136	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684432&PLACEBO=IE.pdf&mode=pdf	32543
137	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684431&PLACEBO=IE.pdf&mode=pdf	32546
138	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684422&PLACEBO=IE.pdf&mode=pdf	32549
139	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684423&PLACEBO=IE.pdf&mode=pdf	32551
140	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684424&PLACEBO=IE.pdf&mode=pdf	32555
141	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684425&PLACEBO=IE.pdf&mode=pdf	32556
142	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684426&PLACEBO=IE.pdf&mode=pdf	32558
143	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684427&PLACEBO=IE.pdf&mode=pdf	32559
144	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684493&PLACEBO=IE.pdf&mode=pdf	32561
145	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109712462&PLACEBO=IE.pdf&mode=pdf	32563
146	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109712464&PLACEBO=IE.pdf&mode=pdf	32565
147	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109712463&PLACEBO=IE.pdf&mode=pdf	32569
148	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684548&PLACEBO=IE.pdf&mode=pdf	32570
149	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684547&PLACEBO=IE.pdf&mode=pdf	32572
150	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684546&PLACEBO=IE.pdf&mode=pdf	32573
151	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684549&PLACEBO=IE.pdf&mode=pdf	32576
152	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684531&PLACEBO=IE.pdf&mode=pdf	32577
153	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684535&PLACEBO=IE.pdf&mode=pdf	32579
