bmkegId	affiliation	lastName	initials
33232	\N	Wang	DW
33234	\N	Barber	RP
33235	\N	Wimer	RE
33236	\N	Wimer	CC
33239	\N	Stokes	TM
33240	\N	Nottebohm	F
33242	\N	Brown	JW
33244	\N	Luiten	PG
33246	\N	Haines	DE
33248	\N	Fallon	JH
33250	\N	Ward	S
33251	\N	Thomson	N
33252	\N	White	JG
33253	\N	Brenner	S
33255	\N	Pasternak	JR
33256	\N	Woolsey	TA
33258	\N	Pasternak	JF
33263	\N	Lindsey	BG
33265	\N	Colonnier	M
33269	\N	Shipley	MT
33271	\N	Seymour	RM
33272	\N	Berry	M
33275	\N	Rolsten	C
33277	\N	West	RW
33278	\N	Dowling	JE
33281	\N	Mihailoff	GA
33284	\N	Lightfoot	DO
33286	\N	Murphey	RK
33287	\N	Mendenhall	B
33288	\N	Palka	J
33289	\N	Edwards	JS
33291	\N	Miller	MR
33293	\N	Kerr	FW
33295	\N	Garver	DL
33297	\N	Mannen	H
33299	\N	Bodian	D
33301	\N	Schlessinger	AR
33303	\N	Cardin	RP
33304	\N	Sweet	RC
33308	\N	Paran	N
33309	\N	Mattern	CF
33312	\N	Dennis	BJ
33313	\N	Kerr	DI
33315	\N	Peter	RE
33316	\N	Gill	VE
33318	\N	Macey	MJ
33320	\N	Frank	E
33321	\N	Jansen	JK
33322	\N	Rinvik	E
33324	\N	Kriebel	RM
33326	\N	Fite	K
33328	\N	Otabe	S
33330	\N	Welker	C
33332	\N	Hwang	YC
33333	\N	Roesel	OF
33336	\N	Evan	AP
33337	\N	Saland	LC
33340	\N	Malpeli	JG
33341	\N	Baker	FH
33344	\N	Henrikson	CK
33345	\N	Chernow	CR
33347	\N	Masnyi	JA
33349	\N	Allen	DJ
33351	\N	Mares	V
33352	\N	Lodin	Z
33353	\N	Jílek	M
33355	\N	Chu-Wang	IW
33356	\N	Foelix	RF
33358	\N	Nijensohn	DE
33360	\N	Wroblewska	Z
33361	\N	Devlin	M
33362	\N	Gilden	DH
33363	\N	Santoli	D
33364	\N	Friedman	H
33365	\N	Koprowski	H
33367	\N	Rorke	LB
33370	\N	Girardi	A
33372	\N	Glendenning	KK
33373	\N	Hall	JA
33376	\N	Edwards	SB
33378	\N	Hopkins	DA
33379	\N	Lawrence	DG
33383	\N	Wilson	JR
33385	\N	Kicliter	E
33387	\N	Boesten	AJ
33388	\N	Voogd	J
33390	\N	Warr	WB
33394	\N	Winans	SS
33396	\N	Finger	TE
33398	\N	Jacob	M
33399	\N	Weddell	G
33401	\N	German	DC
33402	\N	Bowden	DM
33404	\N	Ellison	JP
33405	\N	Clark	MG
33408	\N	RoBards	M
33409	\N	Watson	CR
33412	\N	Pannese	E
